Id bicicleta,modelo bicicleta
1,Urban Ride
2,Master Pedal
3,Speedster X
4,Adventure Plus
5,Storm Racer
6,Veloz 3000
7,NeoBike
8,Urban Ride
9,LightSpeed
10,Adventure Plus
11,Master Pedal
12,Sprint Elite
13,Extreme Climber
14,Adventure Plus
15,Trailblazer
16,Veloz 3000
17,Turbo X
18,City Glide
19,LightSpeed
20,Rapid Flow
21,Ultra Trek
22,EcoCycle
23,NeoBike
24,Speedster X
25,Speedster X
26,Sprint Elite
27,NeoBike
28,Storm Racer
29,Adventure Plus
30,Sprint Elite
31,Speedster X
32,Ultra Trek
33,Thunderbolt
34,Master Pedal
35,Urban Ride
36,Rapid Flow
37,City Glide
38,Adventure Plus
39,Ultra Trek
40,LightSpeed
41,EcoCycle
42,Turbo X
43,Master Pedal
44,Sprint Elite
45,Thunderbolt
46,Storm Racer
47,Sprint Elite
48,City Glide
49,LightSpeed
50,Road King